True Sentences,Generated Sentences
"covariance matrix and an adjacency matrix of a graph, i.e., positive semidefinite matrices whose eigenvectors and values have specific properties in terms of describing the heterogeneity in the data. In fact it can be argued the other way that graph fourier transforms and graph signal processing are the result of a “kernel trick” based on PCA which is far older. So in this sense GNNs/GCNs are a more general class of networks that subsumes VNNs.",This connection serves as a foundation for their proposed coVariance neural network (VNN) architecture.
"a new neural network of any sort. I believe this is just an application of GCNs to the graph consisting of data features as nodes and data points as signals on the nodes (rather than vice versa). While this may be desirable for some types of analysis (see Tong et al. IEEE ICCASP 2022 for analysis of cells as signals over gene graphs), I do not believe it has advantages over robust PCA for this specific application.","The novelty of the VNN approach appears limited, as it primarily adapts established concepts from PCA and GNNs without introducing fundamentally new methodologies."
"is regarding relationships between data features as defined by covariances. This is a strictly linear relationship, if this was changed to mutual information or some other relationship type then indeed a more complex relational graph would be necessary and this is precisely where GNNs/GCNs have contributed.","The empirical validation, while promising, does not sufficiently address the potential limitations of VNNs in diverse real-world scenarios."
"familiar with the literature of this area, but the proposed extension of IBA to MARL appears to be novel, judging from recent citations to the original IBA paper. As far as I understand, the paper offers a few novel technical contributions on top of the existing IBA theoretical framework, namely:","The proposed method, DIALS, introduces a unique way to manage the training of multiple agents in large-scale environments, which is a significant advancement in the field."
"a relevant contribution to the MARL literature, which is an active area of research. The experimental results show that this technique can be used to accelerate and improve the learning of multi-agent policies, and the underlying ideas are simple enough that I could see them being adopted by the community.","The findings suggest that DIALS can significantly improve training efficiency and policy performance, making it a valuable tool for real-world applications involving multiple interacting agents."
"easily decompose the environment simulator into local pieces that can be executed in parallel. This seems like not only a theoretical limitation, but also a strong practical one, as it means that the environment's simulator must be implemented in a very particular way. I might be missing something, but it doesn't seem like DIALS is a method that can be applied out-of-the-box to any relevant multi-agent environment; it puts strong constraints on how the system is simulated. For example, I'm assuming the environments they used in their experiments were implemented by the authors; at least the wording in line 291 seems to imply this is the case for the traffic control experiments, but nothing is said for the warehouse environment. More generally, I didn't see a lot of discussion of this point in the paper, which I would argue is an important omission.","Additionally, it necessitates a solid understanding of the interactions between agents and their environments to effectively implement the approximate influence predictors and ensure that the training process is both efficient and effective."
"its comprehensive set of experiments, including not just one variant but many possible combinations of the proposed embeddings. Such a detailed set of results could prove useful for practitioners that might consider adopting one of the proposed methods based on similarity to one of the given datasets in the evaluation. Moreover, tabular deep learning is still a relatively underexplored subject, and any push to establish better baselines could prove important.","its comprehensive exploration of embedding schemes for numerical features in tabular deep learning, demonstrating significant performance improvements over traditional models."
"in other domains but effectively addresses the same fundamental problem. Namely, there are many papers on how to treat numerical data found in natural language, and specifically how to embed it in the same space as conventional word embeddings. Many suggestions have been proposed over the years, some are identical to the methods in this paper, e.g., the use of periodic activation functions. While the authors note that it was proposed for positional embeddings, it was also proposed for embedding plain numbers found in the text. See [1] for a survey on the various methods used in natural language processing.","in other domains, such as computer vision and natural language processing, which may provide additional insights and methodologies that could enhance the proposed approaches."
"bottom line is from the many experimental results, regardless of whether the proposed embedding methods are novel or not. It is unclear which method is preferred (if any), and why one method would work better than another on a given dataset. There is little attempt to analyze the results or draw any conclusions. The paper would be significantly improved if it was concentrated on one specific method rather than all possible combinations of a set of methods.","exact contributions of the proposed methods are compared to existing techniques, as the paper could benefit from a clearer delineation of novelty."
"not others. The only explanation given is that these datasets are ""GBDT-friendly"". However, it is unclear what are the qualifications of a dataset to be considered as ""GBDT-friendly"", and why we should ignore other datasets that were previously explored in related literature on tabular deep learning. For instance, in [2] a different set of datasets is considered (though there is some overlap), where they already showed that deep learning methods can beat in most cases GBDT. In my view, this submission lacks a thorough explanation of their methodology for selecting the datasets they analyze and why it is okay to ignore others that have appeared in other papers.","benchmarks chosen for evaluation, as a broader range of datasets could provide a more comprehensive assessment of the proposed methods' effectiveness."
"organized and easy to read. The noise issue in video-text retrieval task studied by this work is practical, and the proposed salient frame proposal mechanism seems simple and effective. Extensive experiments are performed on video-text datasets and the experimental results are promising.",The paper is well-structured and presents a novel approach to video-language modeling through the Language-Guided Denoising Network (LGDN).
"and ablation studies to support its network architecture and proposals. For example, in-depth comparison between salient frame proposal (SFP) mechanism and sparse sampling or other frame sampling techniques. Also, some experimental results (e.g., Effect of SFP mechanism) in supplementary material can be included in the paper.",The paper needs more analysis on the impact of the proposed Salient Frame Proposal (SFP) mechanism across different video contexts and its limitations in handling extreme noise scenarios.
The fairness properties of payoff flows for fair allocation are interesting and allow to address both budgeted and non-budgeted settings. The scheme based on payoff rewards is limited to non-constrained problems but it is simpler to understand. The presentation of both types of allocation schemes allows to understand well the advantages and drawbacks of either approaches.,It presents a comprehensive approach to fair reward allocation in collaborative machine learning.
"paper is not very clear: How do the properties defined in the paper differ from classical axioms of cooperative game theory? This is important because the paper is not technical, and its main interest thus lies in the conceptual framework studied.",proposed allocation scheme is significant as it addresses both fairness and budget constraints effectively.
"of the same ideas are already used in survival analysis for estimating the monotonically decreasing survival probability function over time (e.g., Kvamme and Borgan 2021, although the same ideas in parameterizing the monotonic survival function appear in earlier papers, some of which are referenced within Kvamme and Borgan), where standard neural net training procedures suffice. One could perhaps view the proposed HLL method as a generalization of what is already done in survival analysis that does not need a specialized training procedure (although really I'd be surprised if the same ideas used by survival analysis researchers haven't already been used by researchers in other fields that need to enforce monotonicity). That said, I think a paper that neatly shows that there's a general idea that subsumes existing approaches is valuable.","The proposed hierarchical lattice layer (HLL) builds upon the existing TL Lattice framework, addressing specific limitations such as memory consumption and the need for complex training algorithms."
