True Sentences,Generated Sentences,Precision,Recall,F1 Score,Edit Distance
verify the effectiveness of the proposed method by comparing with existing methods.,the experiments conducted on tsp and cvrp datasets demonstrate the effectiveness of the proposed amdkd method.,0.869946,0.91038924,0.8897083,79
"has quite a few task-specific designs, e.g., training policies, architectures, hyper-parameters, etc. it is thus doubtful if the proposed method is generalizable enough when applied in practice.",is well-structured and effectively utilizes knowledge distillation to enhance cross-distribution generalization.,0.8555823,0.8412175,0.8483391,148
"result numbers are 0.00%. i am not sure if it has some special implications. if it is, there should be some explanations about it; otherwise, it could be presented in a better way, or maybe just leave it unfilled.","results indicate that these traditional solvers achieve optimal solutions, highlighting the competitive performance of the proposed method against established benchmarks.",0.8576715,0.8317405,0.844507,154
values have specific properties in terms of describing the heterogeneity in the data. in fact it can be argued the other way that graph fourier transforms and graph signal processing are the result of a “kernel trick” based on pca which is far older. so in this sense gnns/gcns are a more general class of networks that subsumes vnns.,this connection is well-established and provides a solid foundation for their work.,0.8606695,0.8095052,0.8343036,278
is interesting although over the years there have been robust forms of pca that have been developed including variations of principal component pursuit.,"however, the stability they claim is primarily a consequence of the inherent properties of covariance matrices rather than a novel aspect of their proposed architecture.",0.8499496,0.8471954,0.8485703,129
"the graph consisting of data features as nodes and data points as signals on the nodes (rather than vice versa). while this may be desirable for some types of analysis (see tong et al. ieee iccasp 2022 for analysis of cells as signals over gene graphs), i do not believe it has advantages over robust pca for this specific application.",it appears to be an adaptation of existing graph convolutional networks (gcns) rather than a fundamentally new architecture.,0.84501743,0.81277835,0.8285844,258
simply talk about an application of gcns/gnns to feature covariance matrices and situations where that could be useful.,a clearer distinction between the proposed method and existing gcns would enhance the paper's impact.,0.88260806,0.86757565,0.8750273,91
"this is a strictly linear relationship, if this was changed to mutual information or some other relationship type then indeed a more complex relational graph would be necessary and this is precisely where gnns/gcns have contributed.",the authors could elaborate on how their method captures these relationships more effectively than traditional methods.,0.85272443,0.82571447,0.83900213,167
to low-rank approximations done via svd and again i don't see much advantage in using a neural network for this kind of linear operation.,the novelty of the covariance filter needs to be better articulated to justify its introduction in the context of gnns.,0.8690167,0.8520132,0.86043096,106
"assume full-support, which is a strong assumption in real-world applications. this paper takes a close look on the problem and discusses new efficient estimators, that based on mild assumptions, such as full-support not in the combinatorial action spaces, but in the feature space, which also shows better empirical performance.","most prior works have primarily focused on scenarios where the full support assumption holds, making this study particularly relevant.",0.8696183,0.8477694,0.8585549,246
"the combinatorial sense of full support sense in the support over the action features, which draw a nice connection in the slate literature.",the proposed estimators provide a novel approach to address the challenges posed by deficient support.,0.8802135,0.8524791,0.86612433,98
"highly rely on the discrete features of the action, and the linear assumption of the reward, which seems a reasonable assumption for slate, but seems not the case for the reward for each individual action over features.","for the pi estimator, it seems that its performance may heavily depend on the assumptions of full support on side information and linearity, which might not always hold in practice.",0.86864465,0.8591792,0.863886,157
"to define the weighting function). it would be great if the authors add more discussion along this line. this is indeed match the experiment result, as we do see better performance of the similarity estimator as the support divergence increases.",this reliance on similarity could lead to challenges in scenarios where the action features do not adequately capture the underlying reward structure.,0.8606318,0.8403734,0.85038203,176
"ok if this paper only considers the weighting based approach. however, the proposed similarity estimator shares a lot of similarity with the model-based approach, then it is great if the paper could add more baselines based on the model based approach.","including additional baselines, such as other state-of-the-art ope methods, would strengthen the empirical evaluation.",0.86366194,0.8529777,0.85828656,192
"to add more results in terms of bias, variance to further understand the trade-off of the estimators.",this could provide insights into how the choice of similarity affects the performance of the proposed estimators.,0.902576,0.8868017,0.8946194,72
"of complexity in adversarial decision making, which may facilitate further study in bandits/rl etc. the upper and lower bound is new and non-trivial.",of the statistical complexity of adversarial decision making using the convexified decision-estimation coefficient.,0.8820638,0.8595996,0.87068677,100
"the relationships between complexities in adversarial/stochastic settings, and connections between different complexity notions are well explained.",it presents complex ideas clearly and systematically.,0.88160324,0.8426947,0.86170995,112
that i am not very clear about. please see the questions section.,where the notation could be clarified for better understanding.,0.8678191,0.8577353,0.86274767,48
"of iba to marl appears to be novel, judging from recent citations to the original iba paper. as far as i understand, the paper offers a few novel technical contributions on top of the existing iba theoretical framework, namely:",the introduction of distributed influence-augmented local simulators (dials) represents a significant advancement in the field.,0.8458582,0.84229076,0.84407073,175
"for non-stationarity due to other agents, with the retraining frequency as a hyperparameter controlling addressing non-stationarity vs stability.",this allows for a more efficient training process while maintaining the integrity of the learning signals.,0.87819177,0.8414265,0.85941607,102
the above choice by essentially implying that one does not need exact influences to obtain optimal policies.,this theorem supports the practicality of the dials approach in real-world applications.,0.87140685,0.85088915,0.8610258,79
"area of research. the experimental results show that this technique can be used to accelerate and improve the learning of multi-agent policies, and the underlying ideas are simple enough that i could see them being adopted by the community.","the findings have implications for various applications, including traffic management and robotics.",0.88652384,0.8574387,0.87173873,184
"follow naturally from the iba framework. i haven't checked the derivations, but the resulting claims are not surprising and appear correct.",the theoretical insights and empirical results presented in the paper reinforce the validity of the approach.,0.87279695,0.85511065,0.8638632,104
